SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID
OM060 Midterm (Hoshi),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
OLA13 Midterm (Haas),3/1/2012 0:00,3/5/2012 0:00,,,,,,,,
OCH11 Midterm (Bickart),3/2/2012 0:00,3/6/2012 0:00,,,,,,,,
OM013 Midterm (Nuckols),3/5/2012 0:00,3/12/2012 0:00,,,,,,,,
OM011 Midterm (Nuckols),3/5/2012 0:00,3/12/2012 0:00,,,,,,,,
UM53A Midterm (Paquin),3/7/2012 0:00,3/13/2012 0:00,,,,,,,,
OM4AB Midterm (Paquin),3/7/2012 0:00,3/13/2012 0:00,,,,,,,,
Gateway Site Tutorial 2,3/8/2012 19:00,3/8/2012 20:00,,,,Centra,,,,
OH011 Midterm (Smith),3/9/2012 0:00,3/13/2012 0:00,,,,,,,,
OCH13 Midterm (Bickart),3/9/2012 0:00,3/13/2012 0:00,,,,,,,,
UEC20 Midterm (D'Urso),3/12/2012 0:00,3/19/2012 0:00,,,,,,,,
UP055 Midterm (Oas),3/14/2012 0:00,3/19/2012 0:00,,,,,,,,
UP070 Midterm (Oas),3/14/2012 0:00,3/19/2012 0:00,,,,,,,,
OP010 Midterm (Bowen/Oas),3/15/2012 0:00,3/20/2012 0:00,,,,,,,,
OMSB9 Midterm (Hoshi/Weil),3/15/2012 0:00,3/19/2012 0:00,,,,,,,,
Spring Break,3/19/2012 0:00,3/24/2012 0:00,,,,,,,,
Submission Deadline for Commitment to Register and Course Enrollment Forms,3/20/2012 0:00,3/21/2012 0:00,,,,,,,,
OHS Parent Association Meeting,3/29/2012 10:00,3/29/2012 11:30,,,,Centra,,,,
OHS Parent Association Meeting,3/29/2012 20:00,3/29/2012 21:30,,,,Centra,,,,
OLA11 Midterm (Balsley),4/12/2012 0:00,4/14/2012 0:00,,,,,,,,
OHS Parent Association Meeting,4/12/2012 10:00,4/12/2012 11:30,,,,,,,,
OHS Parent Association Meeting,4/12/2012 20:00,4/12/2012 21:30,,,,,,,,
OHS Parent Association Meeting,4/26/2012 10:00,4/26/2012 11:30,,,,,,,,
OHS Parent Association Meeting,4/26/2012 20:00,4/26/2012 21:30,,,,,,,,
OHS Parent Association Meeting,5/10/2012 10:00,5/10/2012 11:30,,,,,,,,
OHS Parent Association Meeting,5/10/2012 20:00,5/10/2012 21:30,,,,,,,,
OHS Parent Association Meeting,5/24/2012 10:00,5/24/2012 11:30,,,,,,,,
OHS Parent Association Meeting,5/24/2012 20:00,5/24/2012 21:30,,,,,,,,
Memorial Day,5/28/2012 0:00,5/29/2012 0:00,,,,,,,,
English Final Exam,5/29/2012 0:00,5/30/2012 0:00,,,,,,,,
Computer Science Final Exam,5/29/2012 0:00,5/30/2012 0:00,,,,,,,,
Mathematics Final Exam,5/30/2012 0:00,5/31/2012 0:00,,,,,,,,
Music Final Exam,5/30/2012 0:00,5/31/2012 0:00,,,,,,,,
Economics Final Exam,5/31/2012 0:00,6/1/2012 0:00,,,,,,,,
Foreign Language Final Exam,5/31/2012 0:00,6/1/2012 0:00,,,,,,,,
Core Final Exam,5/31/2012 0:00,6/1/2012 0:00,,,,,,,,
Science Final Exam,6/1/2012 0:00,6/2/2012 0:00,,,,,,,,
History Final Exam,6/1/2012 0:00,6/2/2012 0:00,,,,,,,,
Flex Day,6/2/2012 0:00,6/3/2012 0:00,,,,,,,,
Flex Day,6/4/2012 0:00,6/5/2012 0:00,,,,,,,,
Graduation Weekend,6/22/2012 0:00,6/25/2012 0:00,,,,,,,,
Summer Session,8/7/2012 0:00,8/22/2012 0:00,,,,Stanford University,,,,
Reading Week,8/29/2012 0:00,9/1/2012 0:00,,,,,,,,
Labor Day Holiday,9/3/2012 0:00,9/4/2012 0:00,,,,,,,,
Live Online Orientation,9/4/2012 10:00,9/4/2012 13:00,,,,Centra,,,,
Live Online Orientation,9/4/2012 17:00,9/4/2012 20:00,,,,Centra,,,,
Class Meetings begin,9/5/2012 0:00,9/6/2012 0:00,,,,,,,,
Tech Open Office Hours,9/5/2012 9:00,9/5/2012 10:00,,FREQ=DAILY;UNTIL=20120908T065959Z;INTERVAL=1,,Centra,,,,
Tech Open Office Hours,9/5/2012 16:00,9/5/2012 16:30,,FREQ=DAILY;UNTIL=20120908T065959Z;INTERVAL=1,,Centra,,,,
All-School Assembly,9/6/2012 16:00,9/6/2012 17:00,,,,Centra,,,,
Tech Open Office Hours,9/10/2012 9:00,9/10/2012 10:00,,FREQ=DAILY;UNTIL=20120915T065959Z;INTERVAL=2,,Centra,,,,
Tech Open Office Hours,9/10/2012 16:00,9/10/2012 17:00,,FREQ=DAILY;UNTIL=20120915T065959Z;INTERVAL=2,,,,,,
Add Deadline,9/14/2012 0:00,9/15/2012 0:00,,,,,,,,
Submission Deadline for Club Proposal Form,9/18/2012 0:00,9/19/2012 0:00,,,,,,,,
OHS Parent Association Meeting,9/20/2012 10:00,9/20/2012 11:30,,,,Centra,,,,
OHS Parent Association Meeting,9/20/2012 19:00,9/20/2012 20:30,,FREQ=MONTHLY;UNTIL=20130517T065959Z;INTERVAL=1;BYDAY=3TH,,Centra,,,,
Deadline for Family Directory Submisions,9/21/2012 0:00,9/22/2012 0:00,,,,,,,,
Assembly: Club Fair,9/21/2012 10:00,9/21/2012 11:00,,,,Centra,,,,
Submission Deadline for Student Government Candidate Entry Form,9/28/2012 0:00,9/29/2012 0:00,,,,,,,,
Back-to-School Night,9/28/2012 17:00,9/28/2012 20:00,,,,Centra,,,,
Assembly: Student Government Candidate Speeches,10/5/2012 10:00,10/5/2012 11:00,,,,Centra,,,,
OHS Parent Association Meeting,10/11/2012 9:00,10/11/2012 10:30,,,,Centra,,,,
OHS Parent Association Meeting,10/11/2012 9:00,10/11/2012 10:30,,FREQ=MONTHLY;UNTIL=20130510T065959Z;INTERVAL=1;BYDAY=2TH,,Centra,,,,
Drop Deadline (without incurring a W on the transcript),10/12/2012 0:00,10/13/2012 0:00,,,,,,,,
PSAT Exam Date,10/17/2012 0:00,10/18/2012 0:00,,,,,,,,
PSAT Exam Date,10/20/2012 0:00,10/21/2012 0:00,,,,,,,,
Halloween Assembly,10/26/2012 10:00,10/26/2012 11:00,,,,Centra,,,,
United States Presidential Election Assembly,11/2/2012 10:00,11/2/2012 11:00,,,,Centra,,,,
OHS Parent Association Meeting,11/8/2012 9:00,11/8/2012 10:30,,,,Centra,,,,
Thanksgiving Holiday,11/21/2012 0:00,11/24/2012 0:00,,,,,,,,
Last Day of Classes,12/13/2012 0:00,12/14/2012 0:00,,,,,,,,
Holiday Assembly,12/14/2012 10:00,12/14/2012 11:00,,,,Centra,,,,
"Finals: English, Computer Science",12/17/2012 0:00,12/18/2012 0:00,,,,,,,,
"Finals: Mathematics, Music",12/18/2012 0:00,12/19/2012 0:00,,,,,,,,
"Finals: Core, Foreign Language, Economics",12/19/2012 0:00,12/20/2012 0:00,,,,,,,,
"Finals: Science, History",12/20/2012 0:00,12/21/2012 0:00,,,,,,,,
OHS Parent Association Meeting,12/20/2012 19:00,12/20/2012 20:30,,,,Centra,,,,
Finals: Flex Day,12/21/2012 0:00,12/23/2012 0:00,,,,,,,,
Winter Break,12/24/2012 0:00,1/5/2013 0:00,,,,,,,,
Reading Week,1/7/2013 0:00,1/12/2013 0:00,,,,,,,,
First Day of Classes,1/14/2013 0:00,1/15/2013 0:00,,,,,,,,
Fall Semester Grades Available on PowerSchool,1/16/2013 0:00,1/17/2013 0:00,,,,,,,,
Spring Semester Add/Drop Deadline,1/18/2013 0:00,1/19/2013 0:00,,,,,,,,
Career Speaker Series: Alex Laslavic,1/18/2013 10:00,1/18/2013 11:00,,,,Centra,,,,
Leadership Speaker Series Discussion,1/18/2013 15:00,1/18/2013 16:30,,,,Centra,,,,
Baltimore Meet-up,1/18/2013 15:00,1/18/2013 18:00,,"Junior Simona Galant is visiting the Baltimore area and has graciously offered to get OHS friends together for a casual meet-up in Baltimore this Friday, January 18, from 2-5 pm.  For details and RSVP information, click here: http://www.stanford.edu/dept/epgyohs/cgi-bin/portal/wp-content/uploads/2012/06/Baltimore-Meet-up.png ",,,,,,
Martin Luther King Holiday,1/21/2013 0:00,1/22/2013 0:00,,,,,,,,
Monday Homerooms on Wednesday,1/23/2013 0:00,1/24/2013 0:00,,,,Centra,,,,
Monday on Friday (Martin Luther King Holiday),1/25/2013 0:00,1/26/2013 0:00,,,,,,,,
College Experience Assembly,2/1/2013 10:00,2/1/2013 11:00,,Required for full-time juniors and seniors. Optional for others. ,,Centra,,,,
Chess Club Guest: Ronen Har-Zvi,2/1/2013 12:30,2/1/2013 14:30,,"The Chess Club has been presented with an amazing opportunity,playing simul games with the  1992 Under 16 World Champion, Ronen Har-Zvi.  Ms Har-Zvi is an energetic and engaging teacher has trained many students all the way to the Grandmaster level\; he is also wonderful with less experienced players. The event will be on Feb. 1 from 11:30am – 1:30pm PST.  All OHS students can sign up for this event, but space is limited, so signup by January 29.More information and registration instructions at theClubs Corner page:https://www.stanford.edu/dept/epgyohs/cgi-bin/portal/?cat=53 ",,,,,,
Model UN Constitutional Convention,2/1/2013 15:00,2/1/2013 16:00,,"MUN club will hold its first meeting of the year on February 1st at 2 p.m. PST. Join us and be part of our Constitutional Convention . This semester we will review, revise and ratify the OHS MUN Constitution, while, in true OHS style, we debate issues of international important in United Nation simulations. Those interested should contact Darcy Deane at darcy2d@stanford.edu or Dermot Bree at dbree1@stanford.edu to be added to the Centra session. ",,Centra,,,,
Leadership Speaker Series,2/8/2013 15:00,2/8/2013 16:30,,,,Centra,,,,
NorCal Meet-up,2/9/2013 17:30,2/9/2013 19:30,,"Parent Kim Laird (Thomas, 2013) and Science Division Head, Kim Failor, invite you to join the OHS Science Bowl team to celebrate their participation in the Stanford Regional Science Bowl on Saturday, February 9th. The team will meet at The Creamery at the Stanford Shopping Center at 4:30pm, after the competition. Join them for burgers, milkshakes, and other tasty treats! 180 Stanford Shopping Center Palo Alto, CA 94304 Stanford Shopping Center‎ http://www.paloaltocreamery.com/ Please RSVP to Kim Laird at keeffe_laird@yahoo.com by Sunday, Feb. 3. ",,"The Creamery, Palo Alto (Stanford Shopping Center)",,,,
College Night for Grades 7-10 Families,2/13/2013 18:00,2/13/2013 19:00,,,,Centra,,,,
OHS Parent Association Meeting,2/14/2013 9:00,2/14/2013 10:30,,,,Centra,,,,
Valentine's Day Poetry Reading,2/14/2013 12:30,2/14/2013 13:30,,Hosted by Lit Club ,,,,,,
Summer Session Application Priority Deadline,2/15/2013 0:00,2/16/2013 0:00,,,,,,,,
Financial Aid deadline for returning students,2/15/2013 0:00,2/16/2013 0:00,,,,,,,,
Astronomy Club Guest: Dr. Mike Brown,2/15/2013 11:30,2/15/2013 12:30,,"Dr. Mike Brown will speak at Astronomy Club on February 15 at 10:30 PST in Centra.  Dr. Brown is a professor of planetary astronomy at theCalifornia Institute of Technology.  He is sometimes called “the Pluto Killer” for his involvement in downgrading Pluto’s status as a planet  This talk is open to all OHS students, so join us to hear this brilliant speaker!Email Ayla Besemer at abesemer@stanford.edu if you would like to be enrolled in the event on Centra. ",,Centra,,,,
Research Colloquium,2/15/2013 14:00,2/15/2013 15:00,,"A Completely Naturalistic Account of the Mind: What It Would Require…and Why It Might Be Impossible to Achieve    Joshua Beattie, Core Instructor    February 15, 2013 – 1 p.m.Summary:Nobody can deny that there have been incredible advances in our scientific understanding of the brain and the way it underwrites certain mental capacities. But questions remain about the big picture. In short, can we give a broad and generalized account of the mind that is fully naturalistic? Or do certain features of the mind resist such treatment? I will briefly discuss a major approach to this naturalistic project and one big obstacle it faces: the seemingly ineliminable role of rational connections – e.g. that a set of beliefs makes sense of or justifies a particular action – in determining which cognitive states are which. ",,Centra,,,,
Leadership Speaker Series Follow-Up Discussion,2/15/2013 15:00,2/15/2013 16:30,,"This is a discussion, led by Dr. Keating, about the Feb. 8th speaker. ",,Centra,,,,
Texas/Oklahoma Meet-up,2/16/2013 17:00,2/16/2013 19:00,,"The Cordeiro family (Jacob, 2015, and Adam, 2018) invite youto a meet up at their home in Frisco, TX at 4pm. 1603 Sandstone Dr. Frisco, TX 75034 Light snacks will be provided, but please bring something to share with the group. RSVP to Kathy Cordeiro at 469-371-1108 orkathy.cordeiro@gmail.com. ",,"Frisco, Texas",,,,
Presidents Day Holiday,2/18/2013 0:00,2/19/2013 0:00,,,,,,,,
Monday Homerooms on Wednesday,2/20/2013 0:00,2/21/2013 0:00,,,,Centra,,,,
Scheduling Information Sessions for Course Enrollment 2013-14 for students entering 7th and 8th grades,2/20/2013 13:30,2/20/2013 15:30,,,,Centra,,,,
Scheduling Information Sessions for Course Enrollment 2013-14 for students entering 9th and 10th grades,2/20/2013 16:00,2/20/2013 18:00,,,,,,,,
Scheduling Information Sessions for Course Enrollment 2013-14 for students 11th and 12th grades,2/21/2013 16:00,2/21/2013 18:00,,,,,,,,
Monday on Friday (Presidents Day),2/22/2013 0:00,2/23/2013 0:00,,,,,,,,
SoCal Meet-up,2/23/2013 11:30,2/23/2013 15:30,,"Join the SoCal OHS community at the El Segundo Teen Center for basketball, foosball, ping pong, pool, board games, and a potluck from10:30am – 2:30pm. Please bring your favorite childhood dish. RSVP to host Sylvie Gabriele at 310-529-3619 or amosavi@verizon.net and include what potluck item you plan to bring. For additional details, click here: http://www.stanford.edu/dept/epgyohs/cgi-bin/portal/wp-content/uploads/2012/06/Socal-Meet-up-Feb-23.png ",,"El Segundo, CA",,,,
Deadline to return Commitment to Register form and initial tuition payment,3/1/2013 0:00,3/2/2013 0:00,,,,,,,,
Spirit Week,3/4/2013 0:00,3/9/2013 0:00,,,,,,,,
Spirit Week Assembly,3/8/2013 13:00,3/8/2013 14:00,,,,,,,,
Leadership Series Discussion,3/8/2013 15:00,3/8/2013 16:30,,,,Centra,,,,
Deadline for submitting all required forms and documents for Course Enrollment 2013-14,3/10/2013 0:00,3/11/2013 0:00,,,,,,,,
OHS Parent Association Meeting,3/14/2013 9:00,3/14/2013 10:30,,,,Centra,,,,
Astronomy Club Speaker: Dr. David Goldberg,3/15/2013 10:00,3/15/2013 11:00,,,,,,,,
Leadership Speaker Series: Dr. Bel Haba,3/22/2013 15:00,3/22/2013 16:30,,,,Centra,,,,
Spring Break,3/25/2013 0:00,3/30/2013 0:00,,,,,,,,
Summer Session Commitment to Register deadline (with a $500 deposit),4/1/2013 0:00,4/2/2013 0:00,,,,,,,,
OHS Parent Association Meeting,4/11/2013 9:00,4/11/2013 10:30,,,,Centra,,,,
OHS Virtual Open House,4/11/2013 18:00,4/11/2013 19:00,,Login: voh20130411sfeigPassword: voh20130411sfeig ,,Computer,,,,
Leadership Speaker Series: Stephen Wolfram,4/12/2013 15:00,4/12/2013 16:30,,,,Centra,,,,
Placement Tests,4/15/2013 0:00,5/1/2013 0:00,,,,,,,,
Service Fair,4/19/2013 10:00,4/19/2013 11:00,,,,,,,,
Science Fair,4/26/2013 10:00,4/26/2013 11:00,,,,Centra,,,,
Leadership Speaker Series Follow-Up Discussion,4/26/2013 15:00,4/26/2013 16:30,,"This is a discussion, led by Dr. Keating, about the April 12th speaker. ",,Centra,,,,
Last Day of Classes,5/16/2013 0:00,5/17/2013 0:00,,,,,,,,
OHS Parent Association Meeting,5/16/2013 19:00,5/16/2013 20:30,,,,Centra,,,,
Dead Week,5/20/2013 0:00,5/23/2013 0:00,,,,,,,,
Spring Semester Finals,5/23/2013 0:00,5/25/2013 0:00,,,,,,,,
Memorial Day Holiday,5/27/2013 0:00,5/28/2013 0:00,,,,,,,,
Spring Semester Finals,5/28/2013 0:00,6/1/2013 0:00,,,,,,,,
Graduation Weekend,6/7/2013 0:00,6/10/2013 0:00,,,,Stanford University,,,,
Summer Session,8/6/2013 0:00,8/20/2013 0:00,,,,,,,,
Live Online Orientation,8/23/2013 0:00,8/24/2013 0:00,,,,Saba Meeting,,,,
First Day of School,8/26/2013 0:00,8/27/2013 0:00,,,,Saba Meeting,,,,
OHS Foundations in Science Class,8/26/2013 21:30,8/26/2013 22:45,,"FREQ=WEEKLY;UNTIL=20131017T013000Z;BYDAY=MO,WE",,Saba Meeting Computer,,,,
Background Surv,8/27/2013 0:00,8/28/2013 0:00,,Background SurveyAttendance and ParticipationScore: --/10 ,,,,,,
Wk 1 Quiz,8/29/2013 0:00,8/30/2013 0:00,,Wk 1 QuizIn-class QuizzesScore: --/10 ,,,,,,
Opening assembly,8/30/2013 14:00,8/30/2013 15:00,,,,Saba,,,,
Opening Assembly,8/30/2013 14:00,8/30/2013 15:00,,,,Saba,,,,
Labor Day Holiday,9/2/2013 0:00,9/3/2013 0:00,,,,,,,,
Wk 2 Quiz,9/5/2013 0:00,9/6/2013 0:00,,Wk 2 QuizIn-class QuizzesScore: --/10 ,,,,,,
Physics of Ligh,9/9/2013 0:00,9/10/2013 0:00,,Physics of LightLab Work and ResearchScore: --/20 ,,,,,,
Wk 3 Quiz,9/12/2013 0:00,9/13/2013 0:00,,Wk 3 QuizIn-class QuizzesScore: --/10 ,,,,,,
Wks 1 - 3 Parti,9/13/2013 0:00,9/14/2013 0:00,,Wks 1 - 3 ParticipationAttendance and ParticipationScore:--/10 ,,,,,,
Leadership Speaker,9/13/2013 15:00,9/13/2013 16:30,,,,,,,,
Physics of Symm,9/16/2013 0:00,9/17/2013 0:00,,Physics of SymmetryLab Work and ResearchScore: --/20 ,,,,,,
Wk 4 Quiz,9/19/2013 0:00,9/20/2013 0:00,,Wk 4 QuizIn-class QuizzesScore: --/10 ,,,,,,
Physics of Wate,9/23/2013 0:00,9/24/2013 0:00,,Physics of WaterLab Work and ResearchScore: --/20 ,,,,,,
Wk 5 Quiz,9/26/2013 0:00,9/27/2013 0:00,,Wk 5 QuizIn-class QuizzesScore: --/10 ,,,,,,
Back to School Night,9/27/2013 0:00,9/28/2013 0:00,,,,Saba Meeting,,,,
Physics of Soap,9/30/2013 0:00,10/1/2013 0:00,,Physics of SoapLab Work and ResearchScore: --/20 ,,,,,,
Wk 6 Quiz,10/3/2013 0:00,10/4/2013 0:00,,Wk 6 QuizIn-class QuizzesScore: --/10 ,,,,,,
Wks 4 - 6 Parti,10/4/2013 0:00,10/5/2013 0:00,,Wks 4 - 6 ParticipationAttendance and ParticipationScore:--/10 ,,,,,,
Physics of Air,10/7/2013 0:00,10/8/2013 0:00,,Physics of AirLab Work and ResearchScore: --/20 ,,,,,,
Wk 7 Quiz,10/10/2013 0:00,10/11/2013 0:00,,Wk 7 QuizIn-class QuizzesScore: --/10 ,,,,,,
Leadership Speaker,10/11/2013 15:00,10/11/2013 16:30,,,,,,,,
Physics of Eggs,10/14/2013 0:00,10/15/2013 0:00,,Physics of EggsLab Work and ResearchScore: --/20 ,,,,,,
Wk 8 Quiz,10/17/2013 0:00,10/18/2013 0:00,,Wk 8 QuizIn-class QuizzesScore: --/10 ,,,,,,
Physics of Rock,10/21/2013 0:00,10/22/2013 0:00,,Physics of RocketsLab Work and ResearchScore: --/20 ,,,,,,
OHS Foundations in Science Class,10/21/2013 21:15,10/21/2013 22:30,,"FREQ=WEEKLY;UNTIL=20131022T011500Z;BYDAY=MO,WE",,Saba Meeting Computer,,,,
OHS Foundations in Science Class,10/23/2013 21:15,10/23/2013 22:30,,"FREQ=WEEKLY;UNTIL=20131031T013000Z;BYDAY=MO,WE",,Saba Meeting Computer,,,,
Wk 9 Quiz,10/24/2013 0:00,10/25/2013 0:00,,Wk 9 QuizIn-class QuizzesScore: --/10 ,,,,,,
Wks 7 - 9 Parti,10/25/2013 0:00,10/26/2013 0:00,,Wks 7 - 9 ParticipationAttendance and ParticipationScore:--/10 ,,,,,,
Midterm Exam,10/28/2013 0:00,10/29/2013 0:00,,Midterm ExamMidtermScore: --/100 ,,,,,,
Wk 10 Quiz,10/31/2013 0:00,11/1/2013 0:00,,Wk 10 QuizIn-class QuizzesScore: --/10 ,,,,,,
Physics of Elec,11/4/2013 0:00,11/5/2013 0:00,,Physics of ElectricityLab Work and ResearchScore: --/20 ,,,,,,
OHS Foundations in Science Class,11/4/2013 21:15,11/4/2013 22:30,,"FREQ=WEEKLY;UNTIL=20140515T011500Z;BYDAY=MO,WE",,Saba Meeting Computer,,,,
Wk 11 Quiz,11/5/2013 0:00,11/6/2013 0:00,,Wk 11 QuizIn-class QuizzesScore: --/10 ,,,,,,
Parent-Teacher Conferences,11/6/2013 0:00,11/8/2013 0:00,,,,Saba Meeting,,,,
Leadership Speaker,11/8/2013 15:00,11/8/2013 16:30,,,,,,,,
Physics of Heat,11/11/2013 0:00,11/12/2013 0:00,,Physics of HeatLab Work and ResearchScore: --/20 ,,,,,,
Wk 12 Quiz,11/14/2013 0:00,11/15/2013 0:00,,Wk 12 QuizIn-class QuizzesScore: --/10 ,,,,,,
Wks 10 - 12 Par,11/15/2013 0:00,11/16/2013 0:00,,Wks 10 - 12 ParticipationAttendance and ParticipationScore: --/10 ,,,,,,
Chemistry of El,11/18/2013 0:00,11/19/2013 0:00,,Chemistry of ElectricityLab Work and ResearchScore: --/20 ,,,,,,
Wk 13 Quiz,11/21/2013 0:00,11/22/2013 0:00,,Wk 13 QuizIn-class QuizzesScore: --/10 ,,,,,,
Chemistry of Ai,11/25/2013 0:00,11/26/2013 0:00,,Chemistry of AirLab Work and ResearchScore: --/20 ,,,,,,
Thanksgiving Holiday,11/27/2013 0:00,11/28/2013 0:00,,,,,,,,
Wk 14 Quiz,11/28/2013 0:00,11/29/2013 0:00,,Wk 14 QuizIn-class QuizzesScore: --/10 ,,,,,,
Wk 15 Quiz,12/5/2013 0:00,12/6/2013 0:00,,Wk 15 QuizIn-class QuizzesScore: --/10 ,,,,,,
Leadership Speaker,12/6/2013 15:00,12/6/2013 16:30,,,,,,,,
Chemistry of Wa,12/9/2013 0:00,12/10/2013 0:00,,Chemistry of WaterLab Work and ResearchScore: --/20 ,,,,,,
Review Classes/Last Day of Classes,12/11/2013 0:00,12/12/2013 0:00,,,,,,,,
Wk 16 Quiz,12/12/2013 0:00,12/13/2013 0:00,,Wk 16 QuizIn-class QuizzesScore: --/10 ,,,,,,
Wks 13 - 16 Par,12/13/2013 0:00,12/14/2013 0:00,,Wks 13 - 16 ParticipationAttendance and ParticipationScore: --/10 ,,,,,,
Fall Semester Finals,12/16/2013 0:00,12/22/2013 0:00,,,,,,,,
Final Exam,12/19/2013 0:00,12/20/2013 0:00,,Final ExamFinal ExamScore: --/150 ,,,,,,
Winter Break,12/23/2013 0:00,1/5/2014 0:00,,,,,,,,
Reading Week,1/6/2014 0:00,1/11/2014 0:00,,,,,,,,
Leadership Speaker,1/10/2014 15:00,1/10/2014 16:30,,,,,,,,
Classes Resume,1/13/2014 0:00,1/14/2014 0:00,,,,,,,,
Martin Luther King Holiday,1/20/2014 0:00,1/21/2014 0:00,,,,,,,,
Monday on Friday (Martin Luther King Holiday),1/24/2014 0:00,1/25/2014 0:00,,,,Saba Meeting,,,,
Leadership Speaker,2/7/2014 15:00,2/7/2014 16:30,,,,,,,,
Presidents Day Holiday,2/17/2014 0:00,2/18/2014 0:00,,,,,,,,
Reading Day (No class),2/18/2014 0:00,2/19/2014 0:00,,,,,,,,
Leadership Speaker,3/7/2014 15:00,3/7/2014 16:30,,,,,,,,
Spring Break,3/24/2014 0:00,3/29/2014 0:00,,,,,,,,
Leadership Speaker,4/11/2014 15:00,4/11/2014 16:30,,,,,,,,
AP Exams,5/5/2014 0:00,5/17/2014 0:00,,,,,,,,
Last Day of Classes,5/15/2014 0:00,5/16/2014 0:00,,,,Saba Meeting,,,,
Study Days,5/19/2014 0:00,5/22/2014 0:00,,,,,,,,
Spring Semester Finals: Computer Science/English,5/22/2014 0:00,5/23/2014 0:00,,,,,,,,
Spring Semester Finals: Math/Music,5/23/2014 0:00,5/24/2014 0:00,,,,,,,,
Memorial Day Holiday,5/26/2014 0:00,5/27/2014 0:00,,,,,,,,
Spring Semester Finals: Core/Foreign Language/Economics,5/27/2014 0:00,5/28/2014 0:00,,,,,,,,
Spring Semester Finals: History/Science,5/28/2014 0:00,5/29/2014 0:00,,,,,,,,
Spring Semester Finals: Flex Day,5/29/2014 0:00,5/30/2014 0:00,,,,,,,,
Spring Semester Finals: Flex Day,5/30/2014 0:00,5/31/2014 0:00,,,,,,,,
Graduation Weekend,6/6/2014 0:00,6/9/2014 0:00,,,,Stanford campus,,,,
Cross Country-Captains practice,6/16/2014 9:00,6/16/2014 10:00,,"FREQ=WEEKLY;UNTIL=20140620T130000Z;BYDAY=MO,TU,WE,TH,FR",,10 mile parking lot,,,,
Cross Country-Captains practice,6/23/2014 9:00,6/23/2014 10:00,,"FREQ=WEEKLY;UNTIL=20140812T235959Z;BYDAY=MO,TU,WE,TH,FR",,10 mile parking lot,,,,
Soccer-Captains Practice,6/23/2014 10:00,6/23/2014 12:00,,"FREQ=WEEKLY;UNTIL=20140731T140000Z;BYDAY=MO,TU,WE,TH",,HS practice fields,,,,
HS sports registration,8/4/2014 7:00,8/4/2014 9:00,,,,HS performance gym,,,,
HS sports registration,8/4/2014 11:00,8/4/2014 13:00,,,,HS performance gym,,,,
HS sports registration,8/5/2014 7:00,8/5/2014 9:00,,,,HS performance gym,,,,
HS sports registration,8/5/2014 11:00,8/5/2014 13:00,,,,HS performance gym,,,,
Cross Country Practice (Time Trial?),8/13/2014 8:00,8/13/2014 10:00,,,,,,,,
